sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
20,0,1,10.114878,8.955461,1.649990,0.014746,57,147,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,477a6e7000bb54bdf743bc94b69d6ef2c295ce7b4482b63a20da04a1880b82bb
21,0,1,10.822987,9.426015,1.994052,0.003783,61,154,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,78ad0e85e6ac4bd8e3f84e53beafbdca254ce381d032e954aa8b16a0c592bd4b
22,0,1,10.111589,8.955461,1.649990,0.003783,64,161,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,78ad0e85e6ac4bd8e3f84e53beafbdca254ce381d032e954aa8b16a0c592bd4b
23,0,1,8.847458,8.282174,0.805927,0.003783,66,168,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,78ad0e85e6ac4bd8e3f84e53beafbdca254ce381d032e954aa8b16a0c592bd4b
24,0,1,10.926835,9.527381,1.994052,0.012056,71,175,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,f530f4558d98a2b65ab963900e0e1247665c6cf675279edeed17630cf12f46ac
25,0,1,10.114071,8.955461,1.649990,0.012056,75,182,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,f530f4558d98a2b65ab963900e0e1247665c6cf675279edeed17630cf12f46ac
26,0,1,8.846323,8.282174,0.805927,0.000000,79,189,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
27,0,1,10.110454,8.955461,1.649990,0.000000,81,196,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
28,0,1,10.114418,8.955461,1.649990,0.013214,85,203,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,f1af38799aeb1d734ac3cfe2c502b5205cbe1a7d7e21d4858981605ff66230b6
29,0,1,10.923218,9.527381,1.994052,0.000000,89,210,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
30,0,1,10.013052,8.854095,1.649990,0.013214,92,217,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f1af38799aeb1d734ac3cfe2c502b5205cbe1a7d7e21d4858981605ff66230b6
31,0,1,10.114418,8.955461,1.649990,0.013214,94,224,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,f1af38799aeb1d734ac3cfe2c502b5205cbe1a7d7e21d4858981605ff66230b6
32,0,1,10.114418,8.955461,1.649990,0.013214,98,231,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,f1af38799aeb1d734ac3cfe2c502b5205cbe1a7d7e21d4858981605ff66230b6
33,0,1,10.010222,8.854095,1.649990,0.003783,101,238,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
34,0,1,10.111589,8.955461,1.649990,0.003783,103,245,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
35,0,1,11.024584,9.628748,1.994052,0.000000,107,252,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
36,0,1,10.821852,9.426015,1.994052,0.000000,110,259,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
37,0,1,10.013052,8.854095,1.649990,0.013214,113,266,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,7a9f7ff467da5eeb9cd2517f093ca7c2434cae5c5c9a00b49be6fb7f0e7d865f
38,0,1,10.013052,8.854095,1.649990,0.013214,117,273,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,7a9f7ff467da5eeb9cd2517f093ca7c2434cae5c5c9a00b49be6fb7f0e7d865f
39,0,1,10.110454,8.955461,1.649990,0.000000,120,280,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
40,0,1,10.009088,8.854095,1.649990,0.000000,123,287,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
41,0,1,10.923218,9.527381,1.994052,0.000000,127,294,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
42,0,1,10.010222,8.854095,1.649990,0.003783,130,301,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
43,0,1,10.111589,8.955461,1.649990,0.003783,132,308,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
44,0,1,10.924353,9.527381,1.994052,0.003783,135,315,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
45,0,1,8.847458,8.282174,0.805927,0.003783,138,322,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
46,0,1,8.847458,8.282174,0.805927,0.003783,139,329,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
47,0,1,8.847458,8.282174,0.805927,0.003783,140,336,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
48,0,1,10.111589,8.955461,1.649990,0.003783,142,343,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
49,0,1,8.847458,8.282174,0.805927,0.003783,144,350,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
50,0,1,8.847458,8.282174,0.805927,0.003783,145,357,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
51,0,1,8.847458,8.282174,0.805927,0.003783,146,364,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
52,0,1,10.010222,8.854095,1.649990,0.003783,148,371,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
53,0,1,10.010222,8.854095,1.649990,0.003783,151,378,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
54,0,1,10.111589,8.955461,1.649990,0.003783,153,385,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
55,0,1,10.924353,9.527381,1.994052,0.003783,156,392,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
56,0,1,10.010222,8.854095,1.649990,0.003783,158,399,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
57,0,1,10.010222,8.854095,1.649990,0.003783,161,406,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
58,0,1,8.847738,8.282174,0.805927,0.004715,164,413,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
59,0,1,8.847738,8.282174,0.805927,0.004715,167,420,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
60,0,1,8.847738,8.282174,0.805927,0.004715,168,427,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
61,0,1,8.847738,8.282174,0.805927,0.004715,169,434,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
62,0,1,8.847738,8.282174,0.805927,0.004715,170,441,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
63,0,1,8.847738,8.282174,0.805927,0.004715,171,448,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
64,0,1,10.111868,8.955461,1.649990,0.004715,173,455,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
65,0,1,8.847738,8.282174,0.805927,0.004715,175,462,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
66,0,1,8.847738,8.282174,0.805927,0.004715,178,469,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
67,0,1,8.847738,8.282174,0.805927,0.004715,179,476,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
68,0,1,10.010502,8.854095,1.649990,0.004715,182,483,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
69,0,1,10.924633,9.527381,1.994052,0.004715,185,490,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
70,0,1,10.823266,9.426015,1.994052,0.004715,188,497,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
71,0,1,8.847458,8.282174,0.805927,0.003783,192,504,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
72,0,1,10.111589,8.955461,1.649990,0.003783,194,511,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
73,0,1,8.847458,8.282174,0.805927,0.003783,196,518,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
74,0,1,10.111589,8.955461,1.649990,0.003783,198,525,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
75,0,1,10.924353,9.527381,1.994052,0.003783,201,532,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
76,0,1,10.010222,8.854095,1.649990,0.003783,204,539,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
77,0,1,8.846323,8.282174,0.805927,0.000000,207,546,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
78,0,1,8.847458,8.282174,0.805927,0.003783,209,553,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
79,0,1,8.849940,8.282174,0.805927,0.012056,213,560,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
80,0,1,8.849940,8.282174,0.805927,0.012056,214,567,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
81,0,1,10.012704,8.854095,1.649990,0.012056,216,574,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
82,0,1,10.012704,8.854095,1.649990,0.012056,217,581,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
83,0,1,10.012704,8.854095,1.649990,0.012056,220,588,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
84,0,1,10.926835,9.527381,1.994052,0.012056,222,595,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
85,0,1,10.825469,9.426015,1.994052,0.012056,225,602,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
86,0,1,8.849940,8.282174,0.805927,0.012056,228,609,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
87,0,1,8.849940,8.282174,0.805927,0.012056,229,616,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
88,0,1,8.847458,8.282174,0.805927,0.003783,232,623,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
89,0,1,8.847458,8.282174,0.805927,0.003783,233,630,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
90,0,1,10.010222,8.854095,1.649990,0.003783,235,637,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
91,0,1,10.924353,9.527381,1.994052,0.003783,237,644,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
92,0,1,10.010222,8.854095,1.649990,0.003783,239,651,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
93,0,1,10.822987,9.426015,1.994052,0.003783,242,658,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
94,0,1,10.111589,8.955461,1.649990,0.003783,245,665,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
95,0,1,8.847458,8.282174,0.805927,0.003783,247,672,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
96,0,1,10.111589,8.955461,1.649990,0.003783,249,679,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
97,0,1,10.111589,8.955461,1.649990,0.003783,250,686,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
98,0,1,10.111589,8.955461,1.649990,0.003783,253,693,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
99,0,1,10.111589,8.955461,1.649990,0.003783,256,700,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
100,0,1,10.010222,8.854095,1.649990,0.003783,259,707,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
101,0,1,8.847738,8.282174,0.805927,0.004715,262,714,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
102,0,1,8.847738,8.282174,0.805927,0.004715,263,721,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
103,0,1,10.111868,8.955461,1.649990,0.004715,265,728,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
104,0,1,10.111868,8.955461,1.649990,0.004715,266,735,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
105,0,1,11.025999,9.628748,1.994052,0.004715,269,742,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
106,0,1,10.111868,8.955461,1.649990,0.004715,271,749,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
107,0,1,10.010502,8.854095,1.649990,0.004715,273,756,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
108,0,1,10.924633,9.527381,1.994052,0.004715,276,763,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
109,0,1,10.010502,8.854095,1.649990,0.004715,279,770,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
110,0,1,10.111868,8.955461,1.649990,0.004715,281,777,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
111,0,1,8.849940,8.282174,0.805927,0.012056,284,784,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
112,0,1,8.849940,8.282174,0.805927,0.012056,286,791,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
113,0,1,10.111589,8.955461,1.649990,0.003783,289,798,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,73f5efc94321c0e66c0fa4f3f14fc0dc6d7fb02e79dc6c80c214d626eea2f3d2
114,0,1,10.010502,8.854095,1.649990,0.004715,294,805,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
115,0,1,10.010502,8.854095,1.649990,0.004715,295,812,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
116,0,1,10.010502,8.854095,1.649990,0.004715,296,819,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
117,0,1,8.847738,8.282174,0.805927,0.004715,298,826,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
118,0,1,8.847738,8.282174,0.805927,0.004715,299,833,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
119,0,1,8.847738,8.282174,0.805927,0.004715,302,840,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
